City,County,State,Zone,Zone_Type,ADU_Allowed,DADU_Allowed,Max_ADUs_Per_Lot,Max_ADU_Size_Sqft,Max_ADU_Size_Percent_Primary,Max_DADU_Size_Sqft,Max_ADU_Height_ft,Max_Lot_Coverage_Percent,Max_FAR,Min_Lot_Size_Sqft,Min_Parking_Spaces,Parking_Notes,Alley_Access_Allowed,Owner_Occupancy_Required,Owner_Occupancy_Notes,Short_Term_Rental_Allowed,Occupancy_Limit_Notes,Min_Front_Setback_ft,Min_Side_Setback_ft,Min_Rear_Setback_ft,Min_Separation_From_Primary_ft,Design_Standards_Notes,Entry_Orientation_Notes,Process_Type,Impact_Fees_Notes,Affordability_Requirements,Reference_Code_Section,Source_Document_URL,Last_Reviewed_Date,Notes,Two_Side_Yards_Min_ft,Min_Street_Frontage_ft,Min_Lot_Width_ft,Min_Lot_Depth_ft,Max_Hard_Surface_Percent,Max_Impervious_Surface_Percent,Alt_Max_Impervious_Surface_Percent,Min_Front_Yard_Greenscape_Percent,Max_Building_Height_Primary_ft,DADU_Max_Height_ft,DADU_Max_Height_Over_Existing_ft,ADU_Parking_Required,ADU_Parking_Exempt_If_Small,ADU_Parking_Exempt_If_Transit,ADU_Conversion_Allowed,ADU_Conversion_Notes,ADU_Site_Limit_Notes,DADU_Setback_Notes,Critical_Area_Notes,Greenscape_Notes
Bellevue,King,WA,LL-1,Residential - Large Lot,Yes - attached or detached,Yes,2,1200,,1200,24,35,,35000,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,35,5,25,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,20,30,100,150,75,45,50,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,LL-2,Residential - Large Lot,Yes - attached or detached,Yes,2,1200,,1200,24,35,,20000,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,30,5,25,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,15,30,90,80,75,45,50,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,SR-1,Residential - Suburban,Yes - attached or detached,Yes,2,1200,,1200,24,35,,13500,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,25,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,15,30,80,80,75,45,50,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,SR-2,Residential - Suburban,Yes - attached or detached,Yes,2,1200,,1200,24,35,,10000,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,25,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,15,30,70,80,75,45,50,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,SR-3,Residential - Suburban,Yes - attached or detached,Yes,2,1200,,1200,24,35,,8500,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,20,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,15,30,65,80,75,45,50,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,SR-4,Residential - Suburban,Yes - attached or detached,Yes,2,1200,,1200,24,40,,7200,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,20,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,15,30,60,80,80,55,55,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,LDR-1,Residential - Low Density,Yes - attached or detached,Yes,2,1200,,1200,24,40,,4700,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,20,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations,10,30,50,80,80,55,55,50,35,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,LDR-2,Residential - Low Density,Yes - attached or detached,Yes,2,1200,,1200,24,40,,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,20,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations; some dimensional values are controlled by footnote twelve in Chart 20.20.010,10,30,,,90,65,80,50,40,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H,Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,LDR-3,Residential - Low Density,Yes - attached or detached,Yes,2,1200,,1200,24,40,,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,20,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations; some dimensional values are controlled by footnote twelve in Chart 20.20.010,10,30,,,90,65,80,50,40,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H,Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
Bellevue,King,WA,MDR-1,Residential - Medium Density,Yes - attached or detached,Yes,2,1200,,1200,24,40,,,Zero spaces if ADU is less than 1000 square feet or within one half mile of a major transit stop; otherwise one space per ADU; up to 300 square feet of ADU parking or storage does not count toward ADU floor area,Yes for DADU,No,Owner occupancy is not required by LUC 20.20.120,,,,20,5,20,,Attached ADU must follow primary building standards; DADU must follow middle housing and detached accessory standards in LUC 20.20.538 and 20.20.125,,Permitted use; building permit only,,See LUC 20.20.128 for optional mixed income or affordable housing provisions,LUC 20.20.120; LUC 20.20.010; LUC 20.10.440,https://bellevue.municipal.codes/LUC,2025-06-24,Standards may be modified by critical area or conservation subdivision regulations; some dimensional values are controlled by footnote twelve in Chart 20.20.010,10,30,,,90,65,80,50,40,24,28,Yes,Yes,Yes,Yes,Existing accessory structures and guest cottages may be converted to ADUs; some conversions may exceed 1200 square feet when allowed by LUC 20.20.120,No more than two ADUs are allowed on a lot that permits a single family dwelling; no new ADU is allowed on a unit lot that already used ADU provisions,DADUs must follow middle housing dimensional standards; a DADU may be located on a lot line that abuts an alley,Setbacks; density; and impervious limits may be modified by Critical Areas Overlay regulations in LUC 20.25H,Front yard greenscape must meet or exceed fifty percent; existing nonconforming greenscape cannot be further reduced
